Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
NICHIREI CORP,2871,2871.T,0.07,Consumer Defensive,Nikkei 225,^N225,Japan,JPX,225,453019697152
TAIHEIYO CEMENT CORP,5233,5233.T,0.07,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,440175624192
JAPAN STEEL WORKS,5631,5631.T,0.07,Industrials,Nikkei 225,^N225,Japan,JPX,225,438754639872
SUMCO CORPORATION,3436,3436.T,0.06,Technology,Nikkei 225,^N225,Japan,JPX,225,416502218752
MERCARI INC,4385,4385.T,0.06,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,403426082816
FURUKAWA ELECTRIC CO,5801,5801.T,0.06,Industrials,Nikkei 225,^N225,Japan,JPX,225,411917025280
SUMITOMO HEAVY INDUSTRIES,6302,6302.T,0.06,Industrials,Nikkei 225,^N225,Japan,JPX,225,384335642624
JTEKT CORPORATION,6473,6473.T,0.06,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,390376095744
MITSUBISHI LOGISTICS CORP,9301,9301.T,0.05,Industrials,Nikkei 225,^N225,Japan,JPX,225,356373299200
COMSYS HOLDINGS CORP,1721,1721.T,0.06,Industrials,Nikkei 225,^N225,Japan,JPX,225,379998601216
DENA CO LTD,2432,2432.T,0.06,Industrials,Nikkei 225,^N225,Japan,JPX,225,375087431680
TAKASHIMAYA CO,8233,8233.T,0.06,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,374344351744
SOCIONEXT INC,6526,6526.T,0.05,Industrials,Nikkei 225,^N225,Japan,JPX,225,361090383872
MITSUBISHI MATERIALS CORP,5711,5711.T,0.05,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,332333711360
ALPS ALPINE CO LTD,6770,6770.T,0.05,Technology,Nikkei 225,^N225,Japan,JPX,225,320201719808
TAIYO YUDEN CO LTD,6976,6976.T,0.05,Technology,Nikkei 225,^N225,Japan,JPX,225,308901281792
NSK,6471,6471.T,0.05,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,319181160448
AOZORA BANK,8304,8304.T,0.05,Financial Services,Nikkei 225,^N225,Japan,JPX,225,298626187264
JGC HOLDINGS CORPORATION,1963,1963.T,0.04,Industrials,Nikkei 225,^N225,Japan,JPX,225,288563527680
NIPPON ELECTRIC GLASS,5214,5214.T,0.04,Technology,Nikkei 225,^N225,Japan,JPX,225,284926083072
DOWA HOLDINGS,5714,5714.T,0.04,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,284109701120
CASIO COMPUTER CO,6952,6952.T,0.04,Technology,Nikkei 225,^N225,Japan,JPX,225,282094141440
SUMITOMO PHARMA CO LTD,4506,4506.T,0.04,Healthcare,Nikkei 225,^N225,Japan,JPX,225,282473168896
NISSUI CORPORATION,1332,1332.T,0.04,Consumer Defensive,Nikkei 225,^N225,Japan,JPX,225,275296813056
HINO MOTORS,7205,7205.T,0.04,Industrials,Nikkei 225,^N225,Japan,JPX,225,272212148224
TEIJIN LTD,3401,3401.T,0.04,Industrials,Nikkei 225,^N225,Japan,JPX,225,262810058752
KONICA MINOLTA INC,4902,4902.T,0.04,Industrials,Nikkei 225,^N225,Japan,JPX,225,261659738112
MITSUI MINING & SMELTING CO,5706,5706.T,0.04,Industrials,Nikkei 225,^N225,Japan,JPX,225,253433282560
GS YUASA CORP,6674,6674.T,0.04,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,250755006464
CITIZEN WATCH CO LTD,7762,7762.T,0.03,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,226798157824
OKUMA CORPORATION,6103,6103.T,0.03,Industrials,Nikkei 225,^N225,Japan,JPX,225,217201098752
UBE CORPORATION,4208,4208.T,0.03,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,222748540928
TOKAI CARBON CO,5301,5301.T,0.03,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,207602483200
TOKUYAMA CORP,4043,4043.T,0.03,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,208064364544
DENKA COMPANY LIMITED,4061,4061.T,0.03,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,189587193856
KANADEVIA CORPORATION,7004,7004.T,0.02,Industrials,Nikkei 225,^N225,Japan,JPX,225,162470559744
NTN CORP,6472,6472.T,0.02,Industrials,Nikkei 225,^N225,Japan,JPX,225,131985899520
