Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
LEGAL & GENERAL GROUP PLC ORD 2,LGEN,LGEN.L,0.63,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,13343388672
COCA-COLA HBC AG ORD CHF6.70 (C,CCH,CCH.L,0.59,Consumer Defensive,FTSE 100,^FTSE,Switzerland,LSE,100,12412917760
INTERCONTINENTAL HOTELS GROUP P,IHG,IHG.L,0.57,Consumer Cyclical,FTSE 100,^FTSE,United Kingdom,LSE,100,11993322496
SAGE GROUP PLC ORD 1 4/77P,SGE,SGE.L,0.52,Technology,FTSE 100,^FTSE,United Kingdom,LSE,100,10896369664
INTERNATIONAL CONSOLIDATED AIRL,IAG,IAG.L,0.53,Industrials,FTSE 100,^FTSE,United Kingdom,LSE,100,11171730432
SCOTTISH MORTGAGE INVESTMENT TR,SMT,SMT.L,0.49,Non disponible,FTSE 100,^FTSE,Non disponible,LSE,100,10260025344
BUNZL PLC ORD 32 1/7P,BNZL,BNZL.L,0.45,Consumer Defensive,FTSE 100,^FTSE,United Kingdom,LSE,100,9419470848
HALMA PLC ORD 10P,HLMA,HLMA.L,0.43,Industrials,FTSE 100,^FTSE,United Kingdom,LSE,100,9115099136
INFORMA PLC ORD 0.1P,INF,INF.L,0.42,Communication Services,FTSE 100,^FTSE,United Kingdom,LSE,100,8906722304
SMITH & NEPHEW PLC ORD USD0.20,SN,SN.L,0.42,Healthcare,FTSE 100,^FTSE,United Kingdom,LSE,100,8960892928
ADMIRAL GROUP PLC ORD 0.1P,ADM,ADM.L,0.41,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,8658727936
SEGRO PLC ORD 10P,SGRO,SGRO.L,0.42,Real Estate,FTSE 100,^FTSE,United Kingdom,LSE,100,8916707328
RENTOKIL INITIAL PLC ORD 1P,RTO,RTO.L,0.38,Industrials,FTSE 100,^FTSE,United Kingdom,LSE,100,7973617664
