Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
SPIRAX GROUP PLC ORD 26 12/13P,SPX,SPX.L,0.19,Industrials,FTSE 100,^FTSE,United Kingdom,LSE,100,4098105344
ENDEAVOUR MINING PLC ORD USD0.0,EDV,EDV.L,0.2,Basic Materials,FTSE 100,^FTSE,United Kingdom,LSE,100,4270528000
HIKMA PHARMACEUTICALS PLC ORD S,HIK,HIK.L,0.2,Healthcare,FTSE 100,^FTSE,United Kingdom,LSE,100,4132638208
UNITE GROUP PLC ORD 25P,UTG,UTG.L,0.19,Real Estate,FTSE 100,^FTSE,United Kingdom,LSE,100,3966726400
LAND SECURITIES GROUP PLC ORD 1,LAND,LAND.L,0.19,Real Estate,FTSE 100,^FTSE,United Kingdom,LSE,100,4034515968
CRODA INTERNATIONAL PLC ORD 10.,CRDA,CRDA.L,0.18,Basic Materials,FTSE 100,^FTSE,United Kingdom,LSE,100,3689040128
HISCOX LTD ORD 6.5P (DI),HSX,HSX.L,0.18,Financial Services,FTSE 100,^FTSE,Bermuda,LSE,100,3804966656
PERSIMMON PLC ORD 10P,PSN,PSN.L,0.18,Consumer Cyclical,FTSE 100,^FTSE,United Kingdom,LSE,100,3750486784
HOWDEN JOINERY GROUP PLC ORD 10,HWDN,HWDN.L,0.18,Consumer Cyclical,FTSE 100,^FTSE,United Kingdom,LSE,100,3875595520
LONDONMETRIC PROPERTY PLC ORD 1,LMP,LMP.L,0.17,Real Estate,FTSE 100,^FTSE,United Kingdom,LSE,100,3679649024
TAYLOR WIMPEY PLC ORD 1P,TW,TW.L,0.18,Consumer Cyclical,FTSE 100,^FTSE,United Kingdom,LSE,100,3790004480
BERKELEY GROUP HOLDINGS (THE) P,BKG,BKG.L,0.17,Consumer Cyclical,FTSE 100,^FTSE,United Kingdom,LSE,100,3555306752
JD SPORTS FASHION PLC ORD 0.05P,JD,JD.L,0.16,Consumer Cyclical,FTSE 100,^FTSE,United Kingdom,LSE,100,3281964288
BABCOCK INTERNATIONAL GROUP PLC,BAB,BAB.L,0.16,Industrials,FTSE 100,^FTSE,United Kingdom,LSE,100,3470471936
EASYJET PLC ORD 27 2/7P,EZJ,EZJ.L,0.15,Industrials,FTSE 100,^FTSE,United Kingdom,LSE,100,3172575488
ENTAIN PLC ORD EUR0.01,ENT,ENT.L,0.16,Consumer Cyclical,FTSE 100,^FTSE,Isle of Man,LSE,100,3442856960
POLAR CAPITAL TECHNOLOGY TRUST ,PCT,PCT.L,0.14,Financial Services,FTSE 100,^FTSE,United Kingdom,LSE,100,3011883264
