Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Ponderation,Secteur_Activite,Nom_Indice,Ticker_Indice_Yahoo,Pays,Place_Boursiere,Nombres_Entreprises,Capitalisation_Boursiere
MITSUBISHI ESTATE CO,8802,8802.T,0.52,Real Estate,Nikkei 225,^N225,Japan,JPX,225,2999705665536
RENESAS ELECTRONICS CORP,6723,6723.T,0.43,Technology,Nikkei 225,^N225,Japan,JPX,225,2476782649344
CENTRAL JAPAN RAILWAY CO,9022,9022.T,0.51,Industrials,Nikkei 225,^N225,Japan,JPX,225,2916059447296
ASAHI GROUP HLDGS,2502,2502.T,0.48,Consumer Defensive,Nikkei 225,^N225,Japan,JPX,225,2780272525312
AJINOMOTO CO INC,2802,2802.T,0.46,Consumer Defensive,Nikkei 225,^N225,Japan,JPX,225,2651369766912
NOMURA RESEARCH INSTITUTE,4307,4307.T,0.47,Technology,Nikkei 225,^N225,Japan,JPX,225,2701504544768
NIDEC CORPORATION,6594,6594.T,0.38,Industrials,Nikkei 225,^N225,Japan,JPX,225,2190055964672
TDK CORP,6762,6762.T,0.39,Technology,Nikkei 225,^N225,Japan,JPX,225,2242916122624
SUMITOMO REALTY & DEVELOPMENT C,8830,8830.T,0.44,Real Estate,Nikkei 225,^N225,Japan,JPX,225,2517614723072
ASTELLAS PHARMA,4503,4503.T,0.41,Healthcare,Nikkei 225,^N225,Japan,JPX,225,2329840975872
TOYOTA TSUSHO CORP,8015,8015.T,0.42,Industrials,Nikkei 225,^N225,Japan,JPX,225,2429605380096
NOMURA HOLDINGS INC.,8604,8604.T,0.42,Financial Services,Nikkei 225,^N225,Japan,JPX,225,2401516650496
KONAMI GROUP CORPORATION,9766,9766.T,0.42,Communication Services,Nikkei 225,^N225,Japan,JPX,225,2391223304192
RESONA HOLDINGS,8308,8308.T,0.41,Financial Services,Nikkei 225,^N225,Japan,JPX,225,2379242274816
SUMITOMO MITSUI TRUST GP INC,8309,8309.T,0.41,Financial Services,Nikkei 225,^N225,Japan,JPX,225,2339023618048
KYOCERA CORP,6971,6971.T,0.41,Industrials,Nikkei 225,^N225,Japan,JPX,225,2342044565504
SECOM CO,9735,9735.T,0.37,Industrials,Nikkei 225,^N225,Japan,JPX,225,2147578544128
INPEX CORPORATION,1605,1605.T,0.35,Energy,Nikkei 225,^N225,Japan,JPX,225,2034722406400
OLYMPUS CORPORATION,7733,7733.T,0.36,Healthcare,Nikkei 225,^N225,Japan,JPX,225,2078459822080
NIPPON YUSEN KABUSHIKI KAISHA,9101,9101.T,0.34,Industrials,Nikkei 225,^N225,Japan,JPX,225,1969744642048
SHIONOGI & CO,4507,4507.T,0.33,Healthcare,Nikkei 225,^N225,Japan,JPX,225,1917020930048
SEKISUI HOUSE,1928,1928.T,0.34,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,1946229276672
ENEOS HOLDINGS INC,5020,5020.T,0.29,Energy,Nikkei 225,^N225,Japan,JPX,225,1656240209920
KUBOTA CORP,6326,6326.T,0.3,Industrials,Nikkei 225,^N225,Japan,JPX,225,1716069203968
TOKYO GAS CO,9531,9531.T,0.31,Utilities,Nikkei 225,^N225,Japan,JPX,225,1762866888704
KANSAI ELECTRIC POWER CO INC,9503,9503.T,0.33,Utilities,Nikkei 225,^N225,Japan,JPX,225,1873266737152
NITTO DENKO CORP,6988,6988.T,0.31,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,1762101166080
SUBARU CORPORATION,7270,7270.T,0.31,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,1767275364352
NITORI HOLDINGS CO LTD,9843,9843.T,0.31,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,1752804491264
MITSUI O.S.K. LINES LTD,9104,9104.T,0.29,Industrials,Nikkei 225,^N225,Japan,JPX,225,1686140092416
RAKUTEN GROUP INC,4755,4755.T,0.27,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,1532555952128
KIRIN HOLDINGS COMPANY LIMITED,2503,2503.T,0.28,Consumer Defensive,Nikkei 225,^N225,Japan,JPX,225,1630112841728
SUMITOMO ELECTRIC INDUSTRIES,5802,5802.T,0.24,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,1364758495232
NEXON CO LTD,3659,3659.T,0.27,Communication Services,Nikkei 225,^N225,Japan,JPX,225,1548480282624
JAPAN EXCHANGE GROUP,8697,8697.T,0.27,Financial Services,Nikkei 225,^N225,Japan,JPX,225,1565318447104
TORAY INDUSTRIES INC,3402,3402.T,0.24,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,1366813966336
IHI CORPORATION,7013,7013.T,0.26,Industrials,Nikkei 225,^N225,Japan,JPX,225,1475019276288
KAJIMA CORP,1812,1812.T,0.23,Industrials,Nikkei 225,^N225,Japan,JPX,225,1295016787968
T&D HOLDINGS INC,8795,8795.T,0.25,Financial Services,Nikkei 225,^N225,Japan,JPX,225,1447220084736
WEST JAPAN RAILWAY CO,9021,9021.T,0.24,Industrials,Nikkei 225,^N225,Japan,JPX,225,1394270142464
OBAYASHI CORP,1802,1802.T,0.23,Industrials,Nikkei 225,^N225,Japan,JPX,225,1290304225280
KIKKOMAN CORP,2801,2801.T,0.22,Consumer Defensive,Nikkei 225,^N225,Japan,JPX,225,1275248508928
OSAKA GAS CO,9532,9532.T,0.22,Utilities,Nikkei 225,^N225,Japan,JPX,225,1263782854656
TOHO CO LTD,9602,9602.T,0.23,Communication Services,Nikkei 225,^N225,Japan,JPX,225,1291668684800
ASAHI KASEI CORP,3407,3407.T,0.21,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,1227831115776
ZOZO INC,3092,3092.T,0.21,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,1221371887616
ANA HOLDINGS INC,9202,9202.T,0.22,Industrials,Nikkei 225,^N225,Japan,JPX,225,1274381205504
TREND MICRO INC,4704,4704.T,0.21,Technology,Nikkei 225,^N225,Japan,JPX,225,1194802675712
KAWASAKI HEAVY INDUSTRIES,7012,7012.T,0.22,Industrials,Nikkei 225,^N225,Japan,JPX,225,1239645552640
CHUBU ELECTRIC POWER CO INC,9502,9502.T,0.2,Utilities,Nikkei 225,^N225,Japan,JPX,225,1172113850368
IDEMITSU KOSAN CO.LTD,5019,5019.T,0.19,Energy,Nikkei 225,^N225,Japan,JPX,225,1083555774464
ISUZU MOTORS,7202,7202.T,0.22,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,1266030608384
FUJIKURA,5803,5803.T,0.17,Industrials,Nikkei 225,^N225,Japan,JPX,225,991308677120
NISSAN MOTOR CO,7201,7201.T,0.21,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,1192619540480
DAIWA SECURITIES GROUP,8601,8601.T,0.21,Financial Services,Nikkei 225,^N225,Japan,JPX,225,1231081308160
KYOWA KIRIN CO LTD,4151,4151.T,0.19,Healthcare,Nikkei 225,^N225,Japan,JPX,225,1084943892480
TAISEI CORP,1801,1801.T,0.18,Industrials,Nikkei 225,^N225,Japan,JPX,225,1020188622848
TOPPAN HOLDINGS INC,7911,7911.T,0.19,Industrials,Nikkei 225,^N225,Japan,JPX,225,1105218633728
EISAI CO LTD,4523,4523.T,0.18,Healthcare,Nikkei 225,^N225,Japan,JPX,225,1036494176256
RYOHIN KEIKAKU CO,7453,7453.T,0.18,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,1053153755136
KAWASAKI KISEN KAISHA,9107,9107.T,0.2,Industrials,Nikkei 225,^N225,Japan,JPX,225,1123723509760
M3 INC,2413,2413.T,0.18,Healthcare,Nikkei 225,^N225,Japan,JPX,225,1029753602048
JAPAN AIRLINES CO LTD,9201,9201.T,0.19,Industrials,Nikkei 225,^N225,Japan,JPX,225,1068254298112
LASERTEC CORP,6920,6920.T,0.18,Technology,Nikkei 225,^N225,Japan,JPX,225,1048914231296
SHISEIDO COMPANY LIMITED,4911,4911.T,0.16,Consumer Defensive,Nikkei 225,^N225,Japan,JPX,225,898502033408
TOKYU CORP,9005,9005.T,0.17,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,957689823232
JFE HOLDINGS INC,5411,5411.T,0.17,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,992610615296
YAMAHA MOTOR CO,7272,7272.T,0.18,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,1023025020928
DAI NIPPON PRINTING CO,7912,7912.T,0.16,Industrials,Nikkei 225,^N225,Japan,JPX,225,921924796416
MITSUBISHI CHEMICAL GROUP CORP,4188,4188.T,0.15,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,882359271424
BAYCURRENT INC,6532,6532.T,0.15,Industrials,Nikkei 225,^N225,Japan,JPX,225,876006146048
CONCORDIA FINANCIAL GROUP LTD,7186,7186.T,0.14,Financial Services,Nikkei 225,^N225,Japan,JPX,225,826324680704
MEIJI HOLDINGS CO LTD,2269,2269.T,0.15,Consumer Defensive,Nikkei 225,^N225,Japan,JPX,225,883378814976
EBARA CORP,6361,6361.T,0.14,Industrials,Nikkei 225,^N225,Japan,JPX,225,830772084736
AGC INC,5201,5201.T,0.15,Industrials,Nikkei 225,^N225,Japan,JPX,225,836163010560
YASKAWA ELECTRIC CORP,6506,6506.T,0.12,Industrials,Nikkei 225,^N225,Japan,JPX,225,691964477440
SCREEN HOLDINGS CO LTD,7735,7735.T,0.15,Technology,Nikkei 225,^N225,Japan,JPX,225,871920238592
SHIMIZU CORP,1803,1803.T,0.14,Industrials,Nikkei 225,^N225,Japan,JPX,225,823587962880
CHIBA BANK,8331,8331.T,0.14,Financial Services,Nikkei 225,^N225,Japan,JPX,225,815267184640
MINEBEA MITSUMI INC,6479,6479.T,0.13,Technology,Nikkei 225,^N225,Japan,JPX,225,725665841152
OMRON CORP,6645,6645.T,0.13,Technology,Nikkei 225,^N225,Japan,JPX,225,737572421632
DENTSU GROUP INC,4324,4324.T,0.13,Communication Services,Nikkei 225,^N225,Japan,JPX,225,732898721792
FUJI ELECTRIC CO. LTD.,6504,6504.T,0.12,Industrials,Nikkei 225,^N225,Japan,JPX,225,691716030464
RICOH CO,7752,7752.T,0.14,Industrials,Nikkei 225,^N225,Japan,JPX,225,778015473664
SUMITOMO METAL MINING CO,5713,5713.T,0.12,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,666513375232
HITACHI CONSTRUCTION MACHINERY,6305,6305.T,0.12,Industrials,Nikkei 225,^N225,Japan,JPX,225,700646948864
SHIZUOKA FINANCIAL GROUP INC.,5831,5831.T,0.12,Financial Services,Nikkei 225,^N225,Japan,JPX,225,692862648320
YOKOGAWA ELECTRIC CORP,6841,6841.T,0.12,Industrials,Nikkei 225,^N225,Japan,JPX,225,663196794880
TOKYU FUDOSAN HOLDINGS CORPORAT,3289,3289.T,0.12,Real Estate,Nikkei 225,^N225,Japan,JPX,225,665968640000
SEIKO EPSON CORP,6724,6724.T,0.11,Technology,Nikkei 225,^N225,Japan,JPX,225,613298601984
KEISEI ELECTRIC RAILWAY CO,9009,9009.T,0.11,Industrials,Nikkei 225,^N225,Japan,JPX,225,621048954880
ISETAN MITSUKOSHI HOLDINGS LTD,3099,3099.T,0.11,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,633138511872
NIPPON EXPRESS HLDGS INC,9147,9147.T,0.12,Industrials,Nikkei 225,^N225,Japan,JPX,225,661625438208
YAMATO HOLDINGS CO LTD,9064,9064.T,0.11,Industrials,Nikkei 225,^N225,Japan,JPX,225,636345253888
TOKYO ELEC POWER CO HLDGS INC,9501,9501.T,0.11,Utilities,Nikkei 225,^N225,Japan,JPX,225,651247353856
FUKUOKA FINANCIAL GROUP INC.,8354,8354.T,0.1,Financial Services,Nikkei 225,^N225,Japan,JPX,225,567777230848
KOBE STEEL,5406,5406.T,0.1,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,586462461952
SOJITZ CORPORATION,2768,2768.T,0.1,Industrials,Nikkei 225,^N225,Japan,JPX,225,585261252608
TOTO LTD,5332,5332.T,0.1,Industrials,Nikkei 225,^N225,Japan,JPX,225,577675329536
TOSOH CORP,4042,4042.T,0.1,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,567744135168
OJI HOLDINGS CORP,3861,3861.T,0.1,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,553780510720
SAPPORO HOLDINGS LIMITED,2501,2501.T,0.1,Consumer Defensive,Nikkei 225,^N225,Japan,JPX,225,564242612224
NISSAN CHEMICAL CORPORATION,4021,4021.T,0.09,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,532650196992
MITSUI CHEMICALS INC,4183,4183.T,0.09,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,514347466752
CYBER AGENT,4751,4751.T,0.09,Communication Services,Nikkei 225,^N225,Japan,JPX,225,521621864448
ODAKYU ELECTRIC RAILWAY CO,9007,9007.T,0.09,Industrials,Nikkei 225,^N225,Japan,JPX,225,505915506688
MITSUBISHI MOTOR CORP,7211,7211.T,0.09,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,495117631488
KURARAY CO,3405,3405.T,0.09,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,487905656832
SUMITOMO CHEMICAL COMPANY,4005,4005.T,0.08,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,474152009728
HASEKO CORPORATION,1808,1808.T,0.09,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,497895735296
SHARP CORP,6753,6753.T,0.08,Technology,Nikkei 225,^N225,Japan,JPX,225,475871969280
MAZDA MOTOR CORP,7261,7261.T,0.09,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,517391908864
TOKYO TATEMONO CO,8804,8804.T,0.09,Real Estate,Nikkei 225,^N225,Japan,JPX,225,513611563008
YAMAHA CORP,7951,7951.T,0.08,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,474258243584
TOBU RAILWAY CO,9001,9001.T,0.09,Industrials,Nikkei 225,^N225,Japan,JPX,225,502650175488
MARUI GROUP CO LTD,8252,8252.T,0.09,Financial Services,Nikkei 225,^N225,Japan,JPX,225,488314568704
NH FOODS LTD,2282,2282.T,0.08,Consumer Defensive,Nikkei 225,^N225,Japan,JPX,225,480577650688
NISSHIN SEIFUN GROUP INC,2002,2002.T,0.09,Consumer Defensive,Nikkei 225,^N225,Japan,JPX,225,487890157568
CREDIT SAISON CO,8253,8253.T,0.08,Financial Services,Nikkei 225,^N225,Japan,JPX,225,470188326912
NGK INSULATORS,5333,5333.T,0.08,Industrials,Nikkei 225,^N225,Japan,JPX,225,458246193152
RESONAC HOLDINGS CORPORATION,4004,4004.T,0.07,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,406631219200
KEIO CORPORATION,9008,9008.T,0.07,Industrials,Nikkei 225,^N225,Japan,JPX,225,426570973184
NICHIREI CORP,2871,2871.T,0.08,Consumer Defensive,Nikkei 225,^N225,Japan,JPX,225,442621296640
YOKOHAMA RUBBER CO,5101,5101.T,0.07,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,410945454080
J FRONT RETAILING CO LTD,3086,3086.T,0.07,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,418248949760
NIKON CORP,7731,7731.T,0.08,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,458714808320
TAIHEIYO CEMENT CORP,5233,5233.T,0.07,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,387282829312
AMADA CO LTD,6113,6113.T,0.07,Industrials,Nikkei 225,^N225,Japan,JPX,225,385348960256
DENA CO LTD,2432,2432.T,0.06,Industrials,Nikkei 225,^N225,Japan,JPX,225,328145797120
COMSYS HOLDINGS CORP,1721,1721.T,0.06,Industrials,Nikkei 225,^N225,Japan,JPX,225,345672744960
MERCARI INC,4385,4385.T,0.06,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,320408813568
SUMITOMO HEAVY INDUSTRIES,6302,6302.T,0.06,Industrials,Nikkei 225,^N225,Japan,JPX,225,320700317696
JAPAN STEEL WORKS,5631,5631.T,0.05,Industrials,Nikkei 225,^N225,Japan,JPX,225,284553838592
TAKASHIMAYA CO,8233,8233.T,0.05,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,310501244928
JTEKT CORPORATION,6473,6473.T,0.05,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,285440671744
SUMCO CORPORATION,3436,3436.T,0.05,Technology,Nikkei 225,^N225,Japan,JPX,225,261546622976
FURUKAWA ELECTRIC CO,5801,5801.T,0.05,Industrials,Nikkei 225,^N225,Japan,JPX,225,264627617792
MITSUBISHI MATERIALS CORP,5711,5711.T,0.05,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,262169296896
SOCIONEXT INC,6526,6526.T,0.04,Industrials,Nikkei 225,^N225,Japan,JPX,225,233511043072
NSK,6471,6471.T,0.05,Consumer Cyclical,Nikkei 225,^N225,Japan,JPX,225,270253113344
ALPS ALPINE CO LTD,6770,6770.T,0.04,Technology,Nikkei 225,^N225,Japan,JPX,225,251719254016
NISSUI CORPORATION,1332,1332.T,0.04,Consumer Defensive,Nikkei 225,^N225,Japan,JPX,225,247260495872
JGC HOLDINGS CORPORATION,1963,1963.T,0.04,Industrials,Nikkei 225,^N225,Japan,JPX,225,234620993536
TAIYO YUDEN CO LTD,6976,6976.T,0.05,Technology,Nikkei 225,^N225,Japan,JPX,225,261502402560
NIPPON ELECTRIC GLASS,5214,5214.T,0.04,Technology,Nikkei 225,^N225,Japan,JPX,225,242114609152
DOWA HOLDINGS,5714,5714.T,0.04,Basic Materials,Nikkei 225,^N225,Japan,JPX,225,235934318592
