Short_Name_Etf,Ticker_Etf_Yf,Ticker_Etf,Devise,Place_Boursiere_Etf,Volume_Moyen,Frais_pct
BNP Paribas Easy MSCI Europe SR,SRIE.PA,SRIE,EUR,PAR,1407.0,
BNP Paribas Easy MSCI Europe SR,SRIEC.PA,SRIEC,EUR,PAR,4585.0,
BNP Paribas Easy MSCI Japan SRI,SRIJ.PA,SRIJ,EUR,PAR,1918.0,
BNP Paribas Easy MSCI Japan SRI,SRIJC.PA,SRIJC,EUR,PAR,805.0,
BNP Paribas Easy EUR Corp Bond ,SRIUC.PA,SRIUC,EUR,PAR,498.0,
BNP Paribas Easy EUR Corp Bond ,SRIUD.PA,SRIUD,EUR,PAR,32.0,
SPDR MSCI Europe Technology UCI,STK.PA,STK,EUR,PAR,2012.0,0.18
SPDR MSCI Europe Energy UCITS E,STN.PA,STN,EUR,PAR,3113.0,0.18
SPDR MSCI Europe Materials UCIT,STP.PA,STP,EUR,PAR,249.0,0.18
Amundi US Curve steepening 2-10,STPU.PA,STPU,EUR,PAR,82.0,0.3
SPDR MSCI Europe Industrials UC,STQ.PA,STQ,EUR,PAR,4757.0,0.18
SPDR MSCI Europe Consumer Discr,STR.PA,STR,EUR,PAR,457.0,0.18
SPDR MSCI Europe Consumer Stapl,STS.PA,STS,EUR,PAR,411.0,0.18
SPDR MSCI Europe Communication ,STT.PA,STT,EUR,PAR,981.0,0.18
SPDR MSCI Europe Utilities UCIT,STU.PA,STU,EUR,PAR,911.0,0.18
SPDR MSCI Europe Health Care UC,STW.PA,STW,EUR,PAR,3060.0,0.18
SPDR MSCI Europe Financials UCI,STZ.PA,STZ,EUR,PAR,4158.0,0.18
VanEck Morningstar Developed Ma,TDIV-XPAR.PA,TDIV-XPAR,EUR,PAR,,
Amundi STOXX Europe 600 Telecom,TELE.PA,TELE,EUR,PAR,5578.0,0.3
Amundi S&P World Communication ,TELW.PA,TELW,EUR,PAR,7188.0,0.18
iShares iBonds Dec 2025 Term $ ,TI25.PA,TI25,EUR,PAR,564.0,
Bitwise Celestia Staking ETP,TIAB.PA,TIAB,EUR,PAR,,
Amundi STOXX Europe 600 Technol,TNO.PA,TNO,EUR,PAR,5901.0,0.3
Amundi MSCI World Information T,TNOW.PA,TNOW,EUR,PAR,944.0,0.3
21Shares Toncoin Staking ETP,TONN-EUR.PA,TONN-EUR,EUR,PAR,,
AMUNDI JAPAN TOPIX UCITS ETF - ,TPHC.PA,TPHC,CHF,PAR,122.0,0.48
AMUNDI JAPAN TOPIX UCITS ETF - ,TPHG.PA,TPHG,GBP,PAR,100.0,0.48
AMUNDI JAPAN TOPIX UCITS ETF - ,TPHU.PA,TPHU,USD,PAR,197.0,0.48
AMUNDI JAPAN TOPIX UCITS ETF - ,TPXE.PA,TPXE,EUR,PAR,3087.0,0.2
AMUNDI JAPAN TOPIX UCITS ETF - ,TPXH.PA,TPXH,EUR,PAR,443.0,0.48
AMUNDI JAPAN TOPIX UCITS ETF - ,TPXY.PA,TPXY,JPY,PAR,1661.0,0.2
Amundi STOXX Europe 600 Consume,TRV.PA,TRV,EUR,PAR,2587.0,0.3
US Global Investors Travel UCIT,TRYP.PA,TRYP,EUR,PAR,491.0,0.69
Amundi MSCI Turkey UCITS ETF Ac,TUR.PA,TUR,EUR,PAR,2622.0,0.45
Amundi US Treasury Bond Long Da,U10HK.PA,U10HK,HKD,PAR,66.0,0.1
Amundi US Treasury Bond 1-3Y UC,U13HK.PA,U13HK,HKD,PAR,0.0,0.1
Amundi US Treasury Bond 7-10Y U,U710H.PA,U710H,HKD,PAR,2.0,0.06
SSTX      PI OPENV,UB93V.PA,UB93V,EUR,PAR,,
Amundi Global Corporate Bond 1-,UBBB.PA,UBBB,USD,PAR,930.0,0.2
Amundi USD Corporate Bond ESG -,UCRP.PA,UCRP,USD,PAR,1246.0,0.14
BNP PARIBAS EASY MSCI Europe UC,UEFA.PA,UEFA,EUR,PAR,100.0,
HSBC FTSE 100 ETF,UKX.PA,UKX,EUR,PAR,788.0,0.07
Amundi MSCI Disruptive Technolo,UNIC.PA,UNIC,EUR,PAR,1685.0,0.45
Amundi US Treasury Bond Long Da,US10.PA,US10,USD,PAR,464.0,0.06
Franklin US Mega Cap 100 UCITS ,US100.PA,US100,EUR,PAR,1488.0,
Amundi US Treasury Bond 1-3Y UC,US13.PA,US13,EUR,PAR,231.0,0.06
Amundi US Treasury Bond 3-7Y UC,US37.PA,US37,EUR,PAR,122.0,0.06
BTUSD     PI OPENV,US88V.PA,US88V,EUR,PAR,,
XTUSD     PI OPENV,US89V.PA,US89V,EUR,PAR,,
Amundi MSCI USA ESG Broad Trans,USA.PA,USA,EUR,PAR,543.0,0.07
Amundi MSCI USA ESG Broad Trans,USAC.PA,USAC,EUR,PAR,1179.0,0.07
Amundi MSCI USA ESG Leaders UCI,USAL.PA,USAL,EUR,PAR,3105.0,0.17
AMUNDI MSCI USA SCREENED UCITS ,USAS.PA,USAS,EUR,PAR,33457.0,
BNP Paribas Easy USD Corp Bond ,USCBC.PA,USCBC,USD,PAR,1254.0,
BNP Paribas Easy USD Corp Bond ,USCBD.PA,USCBD,USD,PAR,646.0,
BNP Paribas Easy USD Corp Bond ,USCBH.PA,USCBH,EUR,PAR,758.0,
Franklin US Dividend Tilt UCITS,USDIV.PA,USDIV,EUR,PAR,32.0,
VanEck US Fallen Angel High Yie,USFA.PA,USFA,EUR,PAR,71.0,0.35
AMUNDI USD HIGH YIELD CORPORATE,USHY.PA,USHY,EUR,PAR,405.0,0.25
Amundi USD Corporate Bond Clima,USIH.PA,USIH,EUR,PAR,626.0,0.2
Amundi MSCI USA SRI Climate Par,USRI-EUR.PA,USRI-EUR,EUR,PAR,,
BNP Paribas Easy MSCI USA SMALL,USSM.PA,USSM,EUR,PAR,373.0,
Amundi Core Nasdaq-100 Swap UCI,UST.PA,UST,EUR,PAR,25391.0,0.22
Amundi PEA MSCI USA Value Advan,USVE.PA,USVE,EUR,PAR,636.0,
Amundi STOXX Europe 600 Utiliti,UTI.PA,UTI,EUR,PAR,2314.0,0.3
Amundi MSCI EMU Value Factor,VAL.PA,VAL,EUR,PAR,2324.0,0.4
BNP Paribas Easy Value Europe,VALD.PA,VALD,EUR,PAR,54.0,
VanEck Bitcoin ETN,VBTC.PA,VBTC,EUR,PAR,3253.0,
VanEck Polkadot ETN,VDOT.PA,VDOT,EUR,PAR,1536.0,
VanEck Ethereum ETN,VETH.PA,VETH,EUR,PAR,2617.0,
BNP Paribas Easy Low Vol Europe,VLED.PA,VLED,EUR,PAR,18.0,
WisdomTree Battery Solutions UC,VOLT.PA,VOLT,EUR,PAR,180.0,
VanEck Pyth ETN,VPYT.PA,VPYT,USD,PAR,4248.0,
Virtune Staked Solana ETP,VRTS-XPAR.PA,VRTS-XPAR,EUR,PAR,,
VanEck Solana ETN,VSOL.PA,VSOL,EUR,PAR,4572.0,
VanEck Sui ETN,VSUI-USD.PA,VSUI-USD,USD,PAR,,
VanEck Celestia ETN,VTIA.PA,VTIA,USD,PAR,,
VanEck TRON ETN,VTRX.PA,VTRX,EUR,PAR,0.0,
Amundi MSCI Water UCITS ETF Dis,WAT.PA,WAT,EUR,PAR,7174.0,0.6
Amundi MSCI Water UCITS ETF Acc,WATC.PA,WATC,EUR,PAR,5288.0,0.6
WisdomTree Physical Bitcoin,WBTC.PA,WBTC,EUR,PAR,0.0,
WisdomTree Cybersecurity UCITS ,WCBR.PA,WCBR,EUR,PAR,1545.0,
WisdomTree Cloud Computing UCIT,WCLD.PA,WCLD,EUR,PAR,189.0,
WisdomTree Europe Defence UCITS,WDEF.PA,WDEF,EUR,PAR,4990.0,
ETC Group Web 3.0 UCITS ETF,WEB3.PA,WEB3,EUR,PAR,353.0,
Harbor Health Care UCITS ETF,WELL.PA,WELL,EUR,PAR,186.0,0.59
BNP Paribas Easy MSCI World Min,WEMT2.PA,WEMT2,EUR,PAR,28639.0,
BNP Paribas Easy MSCI World Min,WEMTE.PA,WEMTE,USD,PAR,3939.0,
BNP Paribas Easy MSCI World ESG,WEMTH.PA,WEMTH,EUR,PAR,1624.0,
Amundi MSCI World SRI Climate P,WESE.PA,WESE,EUR,PAR,97.0,0.2
BNP Paribas Easy MSCI World UCI,WETFE.PA,WETFE,EUR,PAR,2800.0,
BNP Paribas Easy MSCI World Equ,WEWEU.PA,WEWEU,EUR,PAR,133.0,
Amundi MSCI World Swap II UCITS,WLD.PA,WLD,EUR,PAR,8446.0,0.3
Amundi MSCI World Swap II UCITS,WLDH.PA,WLDH,EUR,PAR,1784.0,0.3
AMUNDI MSCI WORLD SCREENED UCIT,WLSC.PA,WLSC,EUR,PAR,56273.0,
Franklin FTSE Developed World U,WORLD.PA,WORLD,EUR,PAR,342.0,
iShares MSCI World Swap PEA UCI,WPEA.PA,WPEA,EUR,PAR,684088.0,
iShares MSCI World Swap PEA UCI,WPEH.PA,WPEH,EUR,PAR,6449.0,
WisdomTree Quantum Computing UC,WQTM.PA,WQTM,EUR,PAR,1870.0,
HSBC MSCI WORLD,WRD.PA,WRD,EUR,PAR,6388.0,0.15
Amundi MSCI World SRI Climate P,WSRI-EUR.PA,WSRI-EUR,EUR,PAR,,
WisdomTree Artificial Intellige,WTAI.PA,WTAI,EUR,PAR,261.0,
Amundi Euro Lowest Rated IG Gov,X13G.PA,X13G,EUR,PAR,42.0,0.14
Amundi Euro Lowest Rated IG Gov,X1G.PA,X1G,EUR,PAR,308.0,0.14
Amundi Euro Lowest Rated IG Gov,X1GD.PA,X1GD,EUR,PAR,93.0,0.14
DDA Physical Bitcoin ETP,XBTI.PA,XBTI,EUR,PAR,77.0,
21Shares XDC Network ETP,XDCN.PA,XDCN,EUR,PAR,244.0,
CARBO     PI OPENV,XQ48V.PA,XQ48V,EUR,PAR,,
AMUNDI EUR HIGH YIELD CORPORATE,YIEL.PA,YIEL,EUR,PAR,678.0,0.25
Bitwise Physical Ethereum ETP,ZETH.PA,ZETH,EUR,PAR,1156.0,
VanEck Gold Miners ETF,GDX,GDX,USD,PCX,26360203.0,0.51
"Gold.com, Inc.",GOLD,GOLD,USD,NYQ,464395.0,
