Date,Close,Rendement du mois,Rendement LP,Rendement DCA x mois,Durée,Mois DCA
,^GSPC,,,,,
2002-05-01,1067.14,-0.0091,7347.273,7450.6488,25 ans,6 mois
2002-06-01,989.82,-0.0725,6814.9238,6910.8094,25 ans,6 mois
2002-07-01,911.62,-0.079,6276.5156,6364.8259,25 ans,6 mois
2002-08-01,916.07,0.0049,6307.154,6395.8954,25 ans,6 mois
2002-09-01,815.28,-0.11,5613.2137,5692.1913,25 ans,6 mois
2002-10-01,885.76,0.0864,6098.4693,6184.2744,25 ans,6 mois
2002-11-01,936.31,0.0571,6446.5066,6537.2086,25 ans,6 mois
2002-12-01,879.82,-0.0603,6057.5723,6142.802,25 ans,6 mois
2003-01-01,855.7,-0.0274,5891.5058,5974.399,25 ans,6 mois
2003-02-01,841.15,-0.017,5791.329,5872.8127,25 ans,6 mois
2003-03-01,848.18,0.0084,5839.7304,5921.8951,25 ans,6 mois
2003-04-01,916.92,0.081,6313.0061,6401.8298,25 ans,6 mois
2003-05-01,963.59,0.0509,6634.33,6727.6747,25 ans,6 mois
2003-06-01,974.5,0.0113,6709.4453,6803.8468,25 ans,6 mois
2003-07-01,990.31,0.0162,6818.2973,6914.2304,25 ans,6 mois
2003-08-01,1008.01,0.0179,6940.1622,7037.8099,25 ans,6 mois
2003-09-01,995.97,-0.0119,6857.2663,6953.7477,25 ans,6 mois
2003-10-01,1050.71,0.055,7234.1519,7335.936,25 ans,6 mois
2003-11-01,1058.2,0.0071,7285.7206,7388.2303,25 ans,6 mois
2003-12-01,1111.92,0.0508,7655.5841,7763.2978,25 ans,6 mois
2004-01-01,1131.13,0.0173,7787.8449,7897.4195,25 ans,6 mois
2004-02-01,1144.9399,0.0122,7882.9265,7993.8389,25 ans,6 mois
2004-03-01,1126.21,-0.0164,7753.9704,7863.0683,25 ans,6 mois
2004-04-01,1107.3,-0.0168,7623.7754,7731.0415,25 ans,6 mois
2004-05-01,1120.6801,0.0121,7715.8969,7824.4591,25 ans,6 mois
2004-06-01,1140.84,0.018,7854.6982,7965.2133,25 ans,6 mois
2004-07-01,1101.72,-0.0343,7585.3565,7692.082,25 ans,6 mois
2004-08-01,1104.24,0.0023,7602.7068,7709.6765,25 ans,6 mois
2004-09-01,1114.58,0.0094,7673.8976,7781.869,25 ans,6 mois
2004-10-01,1130.2,0.014,7781.4415,7890.926,25 ans,6 mois
2004-11-01,1173.8199,0.0386,8081.7658,8195.4758,25 ans,6 mois
2004-12-01,1211.92,0.0325,8344.0854,8461.4863,25 ans,6 mois
2005-01-01,1181.27,-0.0253,8133.0596,8247.4913,25 ans,6 mois
2005-02-01,1203.6,0.0189,8286.8016,8403.3965,25 ans,6 mois
2005-03-01,1180.59,-0.0191,8128.3774,8242.7433,25 ans,6 mois
2005-04-01,1156.85,-0.0201,7964.9273,8076.9934,25 ans,6 mois
2005-05-01,1191.5,0.03,8203.4932,8318.9159,25 ans,6 mois
2005-06-01,1191.33,-0.0001,8202.3224,8317.7286,25 ans,6 mois
2005-07-01,1234.1801,0.036,8497.3459,8616.9031,25 ans,6 mois
2005-08-01,1220.33,-0.0112,8401.9878,8520.2033,25 ans,6 mois
2005-09-01,1228.8101,0.0069,8460.3734,8579.4104,25 ans,6 mois
2005-10-01,1207.01,-0.0177,8310.2798,8427.205,25 ans,6 mois
2005-11-01,1249.48,0.0352,8602.6861,8723.7254,25 ans,6 mois
2005-12-01,1248.29,-0.001,8594.4933,8715.4174,25 ans,6 mois
2006-01-01,1280.08,0.0255,8813.3673,8937.3709,25 ans,6 mois
2006-02-01,1280.66,0.0005,8817.3612,8941.421,25 ans,6 mois
2006-03-01,1294.87,0.0111,8915.1969,9040.6333,25 ans,6 mois
2006-04-01,1310.61,0.0122,9023.567,9150.5281,25 ans,6 mois
2006-05-01,1270.09,-0.0309,8744.5861,8867.622,25 ans,6 mois
2006-06-01,1270.2,0.0001,8745.3434,8868.3899,25 ans,6 mois
2006-07-01,1276.66,0.0051,8789.8211,8913.4934,25 ans,6 mois
2006-08-01,1303.8199,0.0213,8976.8175,9103.1208,25 ans,6 mois
2006-09-01,1335.85,0.0246,9197.3446,9326.7508,25 ans,6 mois
2006-10-01,1377.9399,0.0315,9487.1346,9620.6181,25 ans,6 mois
2006-11-01,1400.63,0.0165,9643.356,9779.0375,25 ans,6 mois
2006-12-01,1418.3,0.0126,9765.0145,9902.4077,25 ans,6 mois
2007-01-01,1438.24,0.0141,9902.3012,10041.6261,25 ans,6 mois
2007-02-01,1406.8199,-0.0218,9685.9738,9822.2549,25 ans,6 mois
2007-03-01,1420.86,0.01,9782.6397,9920.2809,25 ans,6 mois
2007-04-01,1482.37,0.0433,10206.1369,10349.7367,25 ans,6 mois
2007-05-01,1530.62,0.0325,10538.3388,10686.6126,25 ans,6 mois
2007-06-01,1503.35,-0.0178,10350.5843,10496.2165,25 ans,6 mois
2007-07-01,1455.27,-0.032,10019.5532,10160.5278,25 ans,6 mois
2007-08-01,1473.99,0.0129,10148.4404,10291.2285,25 ans,6 mois
2007-09-01,1526.75,0.0358,10511.6938,10659.5928,25 ans,6 mois
2007-10-01,1549.38,0.0148,10667.5017,10817.5929,25 ans,6 mois
2007-11-01,1481.14,-0.044,10197.6685,10341.1491,25 ans,6 mois
2007-12-01,1468.36,-0.0086,10109.6778,10251.9204,25 ans,6 mois
2008-01-01,1378.55,-0.0612,9491.3352,9624.8778,25 ans,6 mois
2008-02-01,1330.63,-0.0348,9161.4051,9290.3055,25 ans,6 mois
2008-03-01,1322.7,-0.006,9106.8065,9234.9388,25 ans,6 mois
2008-04-01,1385.59,0.0475,9539.8051,9674.0297,25 ans,6 mois
